k,AU,AT,DU,DT1,DT2,cU,cT1,cT2,J,S,sbar
1e-06,0.9423995888629533,0.0,-10.324754347893826,0.0,0.0,-0.0039990482527605805,0.0,0.0,0.9423995888631891,0.3844990322463464,0.0
1.028463060849779e-06,0.9423995888619576,0.0,-10.325238217213128,0.0,0.0,-0.003999048252759689,0.0,0.0,0.942399588862207,0.3844990322459355,0.0
1.0577362675324964e-06,0.9423995888609048,0.0,-10.324450785102497,0.0,0.0,-0.003999048252758747,0.0,0.0,0.942399588861169,0.38449903224550086,0.0
1.087842679278294e-06,0.9423995888597916,0.0,-10.32586498866144,0.0,0.0,-0.003999048252757748,0.0,0.0,0.9423995888600702,0.38449903224504123,0.0
1.118806011653579e-06,0.942399588858613,0.0,-10.324980510123195,0.0,0.0,-0.003999048252756696,0.0,0.0,0.9423995888589081,0.3844990322445547,0.0
1.1506506552423733e-06,0.9423995888573671,0.0,-10.325300926114915,0.0,0.0,-0.003999048252755581,0.0,0.0,0.9423995888576793,0.38449903224404053,0.0
1.183401694859375e-06,0.9423995888560491,0.0,-10.32511733159465,0.0,0.0,-0.003999048252754402,0.0,0.0,0.9423995888563791,0.3844990322434963,0.0
1.2170849293098917e-06,0.9423995888546551,0.0,-10.324851815177142,0.0,0.0,-0.0039990482527531524,0.0,0.0,0.9423995888550043,0.38449903224292065,0.0
1.251726891712188e-06,0.9423995888531806,0.0,-10.324738425315969,0.0,0.0,-0.0039990482527518375,0.0,0.0,0.9423995888535497,0.38449903224231197,0.0
1.2873548703982968e-06,0.9423995888516215,0.0,-10.32654052311189,0.0,0.0,-0.003999048252750444,0.0,0.0,0.942399588852012,0.38449903224166837,0.0
1.323996930409703e-06,0.9423995888499717,0.0,-10.325481061789299,0.0,0.0,-0.003999048252748963,0.0,0.0,0.9423995888503844,0.38449903224098714,0.0
1.361681935604878e-06,0.9423995888482266,0.0,-10.324909930963404,0.0,0.0,-0.003999048252747403,0.0,0.0,0.9423995888486634,0.3844990322402667,0.0
1.4004395713960445e-06,0.9423995888463808,0.0,-10.32539925958564,0.0,0.0,-0.003999048252745754,0.0,0.0,0.942399588846843,0.3844990322395046,0.0
1.4403003681331284e-06,0.942399588844429,0.0,-10.325131591793463,0.0,0.0,-0.003999048252744006,0.0,0.0,0.9423995888449177,0.38449903223869875,0.0
1.4812957251532608e-06,0.9423995888423642,0.0,-10.325106101853528,0.0,0.0,-0.003999048252742156,0.0,0.0,0.9423995888428804,0.38449903223784637,0.0
1.5234579355148189e-06,0.9423995888401798,0.0,-10.325050629211617,0.0,0.0,-0.003999048252740202,0.0,0.0,0.942399588840726,0.3844990322369445,0.0
1.566820211435456e-06,0.9423995888378697,0.0,-10.325552807234368,0.0,0.0,-0.003999048252738138,0.0,0.0,0.9423995888384478,0.3844990322359907,0.0
1.611416710454207e-06,0.9423995888354255,0.0,-10.325248665799034,0.0,0.0,-0.003999048252735949,0.0,0.0,0.9423995888360372,0.38449903223498183,0.0
1.6572825623382159e-06,0.9423995888328417,0.0,-10.325801748332559,0.0,0.0,-0.003999048252733639,0.0,0.0,0.942399588833488,0.3844990322339148,0.0
1.7044538967553262e-06,0.9423995888301068,0.0,-10.325732718966671,0.0,0.0,-0.003999048252731191,0.0,0.0,0.9423995888307911,0.3844990322327859,0.0
1.7529678717343196e-06,0.9423995888272148,0.0,-10.325581340834288,0.0,0.0,-0.003999048252728604,0.0,0.0,0.9423995888279393,0.38449903223159226,0.0
1.8028627029352012e-06,0.9423995888241562,0.0,-10.325675601526799,0.0,0.0,-0.003999048252725869,0.0,0.0,0.9423995888249217,0.3844990322303292,0.0
1.854177693752643e-06,0.9423995888209208,0.0,-10.325844085363567,0.0,0.0,-0.003999048252722979,0.0,0.0,0.9423995888217307,0.38449903222899356,0.0
1.9069532662762274e-06,0.9423995888174987,0.0,-10.325230024580806,0.0,0.0,-0.003999048252719915,0.0,0.0,0.9423995888183552,0.38449903222758064,0.0
1.9612309931319364e-06,0.9423995888138786,0.0,-10.325233734987698,0.0,0.0,-0.003999048252716675,0.0,0.0,0.9423995888147851,0.38449903222608606,0.0
2.0170536302299236e-06,0.9423995888100498,0.0,-10.325350282750454,0.0,0.0,-0.003999048252713249,0.0,0.0,0.9423995888110086,0.38449903222450554,0.0
2.0744651504444257e-06,0.9423995888060002,0.0,-10.325199312898679,0.0,0.0,-0.003999048252709623,0.0,0.0,0.942399588807014,0.38449903222283377,0.0
2.1335107782522713e-06,0.9423995888017168,0.0,-10.325357529932427,0.0,0.0,-0.0039990482527057945,0.0,0.0,0.9423995888027887,0.38449903222106524,0.0
2.19423702535733e-06,0.9423995887971857,0.0,-10.325596250743256,0.0,0.0,-0.003999048252701742,0.0,0.0,0.9423995887983204,0.38449903221919457,0.0
2.2566917273289136e-06,0.942399588792393,0.0,-10.325407462779847,0.0,0.0,-0.003999048252697451,0.0,0.0,0.942399588793593,0.3844990322172159,0.0
2.320924081283069e-06,0.9423995887873235,0.0,-10.325427346310729,0.0,0.0,-0.003999048252692915,0.0,0.0,0.9423995887885925,0.38449903221512305,0.0
