k,AU,AT,DU,DT1,DT2,cU,cT1,cT2,J,S,sbar
1e-06,0.5099990463336409,12.45505111720642,-5.1229121064584655,-133.2426937250011,-0.01892561546694109,-0.11358587508189505,-2.6731317528105256,0.0008611763279164757,0.5026902438904608,0.37274892997535053,0.06082044992173466
1.028463060849779e-06,0.5099990463331262,12.455051117193776,-5.122912106452663,-133.24269372485108,-0.018925615466957868,-0.11358587508177387,-2.6731317528075635,0.0008611763279169241,0.5026902438899843,0.372748929974961,0.0608204499217216
1.0577362675324964e-06,0.5099990463325812,12.455051117180389,-5.122912106446528,-133.24269372469294,-0.01892561546697561,-0.11358587508164564,-2.673131752804431,0.0008611763279173994,0.5026902438894802,0.37274892997454906,0.06082044992170779
1.087842679278294e-06,0.5099990463320053,12.455051117166219,-5.122912106440043,-133.24269372452525,-0.01892561546699439,-0.11358587508151004,-2.6731317528011234,0.0008611763279179006,0.5026902438889469,0.37274892997411313,0.06082044992169312
1.118806011653579e-06,0.5099990463313965,12.455051117151251,-5.122912106433177,-133.24269372434821,-0.018925615467014257,-0.11358587508136664,-2.6731317527976213,0.0008611763279184321,0.5026902438883831,0.37274892997365233,0.06082044992167767
1.1506506552423733e-06,0.509999046330752,12.455051117135412,-5.122912106425913,-133.2426937241607,-0.01892561546703529,-0.11358587508121486,-2.6731317527939176,0.0008611763279189942,0.5026902438877863,0.3727489299731647,0.0608204499216613
1.183401694859375e-06,0.5099990463300706,12.455051117118652,-5.122912106418235,-133.2426937239624,-0.018925615467057524,-0.11358587508105444,-2.6731317527900034,0.0008611763279195881,0.5026902438871554,0.37274892997264875,0.06082044992164395
1.2170849293098917e-06,0.5099990463293494,12.455051117100938,-5.122912106410112,-133.24269372375278,-0.018925615467081,-0.11358587508088469,-2.673131752785857,0.0008611763279202165,0.5026902438864883,0.3727489299721033,0.060820449921625656
1.251726891712188e-06,0.5099990463285867,12.455051117082183,-5.122912106401517,-133.24269372353095,-0.018925615467105847,-0.11358587508070517,-2.6731317527814773,0.000861176327920881,0.5026902438857823,0.37274892997152625,0.06082044992160629
1.2873548703982968e-06,0.5099990463277803,12.455051117062355,-5.122912106392432,-133.2426937232963,-0.018925615467132183,-0.11358587508051524,-2.673131752776837,0.0008611763279215845,0.5026902438850357,0.37274892997091597,0.06082044992158581
1.323996930409703e-06,0.5099990463269266,12.45505111704139,-5.12291210638282,-133.24269372304815,-0.01892561546716001,-0.11358587508031442,-2.673131752771934,0.0008611763279223284,0.502690243884246,0.3727489299702702,0.06082044992156416
1.361681935604878e-06,0.5099990463260248,12.455051117019202,-5.122912106372651,-133.24269372278573,-0.018925615467189447,-0.11358587508010196,-2.673131752766746,0.0008611763279231149,0.5026902438834108,0.3727489299695872,0.06082044992154119
1.4004395713960445e-06,0.5099990463250699,12.455051116995737,-5.1229121063618965,-133.24269372250808,-0.01892561546722053,-0.11358587507987725,-2.6731317527612584,0.0008611763279239472,0.5026902438825269,0.3727489299688652,0.060820449921516924
1.4403003681331284e-06,0.5099990463240605,12.455051116970917,-5.122912106350522,-133.24269372221423,-0.018925615467253496,-0.11358587507963955,-2.673131752755458,0.0008611763279248273,0.5026902438815926,0.3727489299681013,0.060820449921491285
1.4812957251532608e-06,0.5099990463229924,12.455051116944658,-5.122912106338485,-133.24269372190375,-0.01892561546728833,-0.11358587507938812,-2.673131752749318,0.0008611763279257581,0.5026902438806045,0.37274892996729286,0.06082044992146417
1.5234579355148189e-06,0.5099990463218629,12.455051116916888,-5.122912106325758,-133.24269372157508,-0.01892561546732516,-0.11358587507912223,-2.6731317527428264,0.0008611763279267429,0.5026902438795583,0.37274892996643844,0.060820449921435454
1.566820211435456e-06,0.509999046320668,12.455051116887518,-5.122912106312298,-133.2426937212275,-0.018925615467364126,-0.11358587507884091,-2.6731317527359577,0.0008611763279277846,0.5026902438784522,0.37274892996553416,0.060820449921405104
1.611416710454207e-06,0.5099990463194038,12.455051116856444,-5.122912106298057,-133.2426937208601,-0.018925615467405354,-0.11358587507854334,-2.6731317527286933,0.0008611763279288864,0.5026902438772828,0.37274892996457787,0.060820449921372984
1.6572825623382159e-06,0.5099990463180669,12.4550511168236,-5.122912106282996,-133.24269372047115,-0.018925615467448947,-0.11358587507822865,-2.6731317527210092,0.0008611763279300517,0.5026902438760453,0.37274892996356657,0.060820449921339025
1.7044538967553262e-06,0.5099990463166534,12.455051116788844,-5.122912106267062,-133.24269372005983,-0.018925615467495042,-0.11358587507789572,-2.673131752712882,0.0008611763279312845,0.5026902438747362,0.3727489299624963,0.06082044992130314
1.7529678717343196e-06,0.5099990463151576,12.455051116752061,-5.122912106250214,-133.2426937196248,-0.018925615467543837,-0.11358587507754364,-2.6731317527042866,0.000861176327932588,0.5026902438733525,0.37274892996136477,0.06082044992126512
1.8028627029352012e-06,0.5099990463135757,12.455051116713184,-5.12291210623239,-133.2426937191647,-0.018925615467595427,-0.11358587507717124,-2.673131752695193,0.0008611763279339675,0.5026902438718879,0.37274892996016756,0.06082044992122489
1.854177693752643e-06,0.5099990463119031,12.45505111667205,-5.122912106213536,-133.24269371867797,-0.018925615467649988,-0.11358587507677734,-2.673131752685576,0.0008611763279354258,0.5026902438703387,0.37274892995890174,0.060820449921182386
1.9069532662762274e-06,0.5099990463101326,12.455051116628537,-5.122912106193595,-133.24269371816317,-0.018925615467707713,-0.11358587507636057,-2.673131752675403,0.0008611763279369689,0.502690243868701,0.3727489299575625,0.060820449921137415
1.9612309931319364e-06,0.5099990463082602,12.455051116582517,-5.122912106172501,-133.24269371761864,-0.018925615467768792,-0.11358587507591988,-2.673131752664642,0.0008611763279386006,0.5026902438669676,0.37274892995614595,0.060820449921089856
2.0170536302299236e-06,0.5099990463062805,12.45505111653384,-5.122912106150192,-133.2426937170426,-0.018925615467833366,-0.11358587507545367,-2.6731317526532594,0.0008611763279403271,0.5026902438651348,0.37274892995464753,0.060820449921039556
2.0744651504444257e-06,0.5099990463041859,12.455051116482363,-5.1229121061265905,-133.24269371643345,-0.018925615467901672,-0.11358587507496058,-2.6731317526412246,0.0008611763279421532,0.5026902438631963,0.37274892995306275,0.060820449920986334
2.1335107782522713e-06,0.5099990463019706,12.45505111642789,-5.122912106101631,-133.2426937157891,-0.018925615467973916,-0.11358587507443904,-2.6731317526284903,0.0008611763279440845,0.5026902438611456,0.37274892995138603,0.06082044992093005
2.19423702535733e-06,0.5099990462996267,12.45505111637028,-5.122912106075229,-133.24269371510746,-0.018925615468050314,-0.11358587507388734,-2.6731317526150216,0.0008611763279461271,0.5026902438589766,0.3727489299496132,0.06082044992087052
2.2566917273289136e-06,0.5099990462971487,12.455051116309352,-5.122912106047303,-133.2426937143864,-0.018925615468131162,-0.11358587507330381,-2.6731317526007716,0.0008611763279482877,0.5026902438566819,0.37274892994773756,0.060820449920807505
2.320924081283069e-06,0.5099990462945271,12.4550511162449,-5.122912106017762,-133.2426937136238,-0.01892561546821667,-0.11358587507268661,-2.673131752585703,0.0008611763279505733,0.5026902438542555,0.37274892994575354,0.060820449920740885
2.3869846846363467e-06,0.5099990462917539,12.455051116176731,-5.122912105986519,-133.24269371281716,-0.018925615468307126,-0.11358587507203372,-2.673131752569764,0.0008611763279529917,0.5026902438516883,0.3727489299436555,0.06082044992067043
2.454925574962647e-06,0.5099990462888205,12.455051116104622,-5.122912105953467,-133.24269371196405,-0.018925615468402743,-0.11358587507134318,-2.6731317525529037,0.0008611763279555472,0.5026902438489733,0.37274892994143594,0.06082044992059594
2.524800270984487e-06,0.5099990462857177,12.455051116028356,-5.122912105918513,-133.24269371106152,-0.01892561546850399,-0.11358587507061277,-2.6731317525350695,0.0008611763279582526,0.5026902438461011,0.372748929939088,0.06082044992051707
2.5966638147310575e-06,0.5099990462824361,12.455051115947683,-5.1229121058815315,-133.24269371010712,-0.018925615468611007,-0.11358587506984014,-2.6731317525162046,0.0008611763279611132,0.502690243843064,0.372748929936605,0.060820449920433686
2.670572814896167e-06,0.5099990462789653,12.455051115862352,-5.122912105842427,-133.24269370909718,-0.018925615468724226,-0.11358587506902296,-2.6731317524962552,0.0008611763279641397,0.5026902438398508,0.3727489299339785,0.060820449920345514
2.746585491430322e-06,0.5099990462752937,12.455051115772097,-5.122912105801057,-133.24269370802938,-0.018925615468843946,-0.1135858750681586,-2.673131752475151,0.0008611763279673405,0.5026902438364522,0.37274892993120035,0.060820449920252234
2.8247617214020294e-06,0.5099990462714098,12.455051115676616,-5.122912105757302,-133.24269370689984,-0.018925615468970595,-0.11358587506724432,-2.673131752452832,0.0008611763279707253,0.5026902438328572,0.37274892992826153,0.06082044992015351
2.905163086164422e-06,0.5099990462673019,12.455051115575639,-5.122912105711016,-133.2426937057048,-0.01892561546910456,-0.11358587506627715,-2.6731317524292195,0.000861176327974307,0.5026902438290549,0.3727489299251533,0.06082044992004913
2.987852919864452e-06,0.5099990462629571,12.455051115468825,-5.122912105662061,-133.242693704441,-0.018925615469246263,-0.11358587506525426,-2.6731317524042453,0.0008611763279780942,0.502690243825033,0.3727489299218654,0.06082044991993871
3.072896359332744e-06,0.5099990462583612,12.455051115355834,-5.12291210561028,-133.2426937031043,-0.018925615469396157,-0.11358587506417231,-2.6731317523778317,0.0008611763279821009,0.5026902438207792,0.37274892991838793,0.060820449919821946
3.1603603953935026e-06,0.5099990462535003,12.455051115236364,-5.122912105555508,-133.2426937016903,-0.018925615469554694,-0.11358587506302785,-2.673131752349888,0.0008611763279863389,0.5026902438162797,0.3727489299147096,0.06082044991969842
3.25031392563482e-06,0.5099990462483588,12.455051115109953,-5.1229121054975755,-133.24269370019476,-0.01892561546972239,-0.11358587506181736,-2.6731317523203333,0.0008611763279908213,0.50269024381152,0.37274892991081887,0.060820449919567754
3.3428278086810476e-06,0.5099990462429195,12.455051114976255,-5.122912105436294,-133.24269369861258,-0.018925615469899747,-0.11358587506053694,-2.6731317522890734,0.0008611763279955622,0.5026902438064857,0.3727489299067034,0.06082044991942957
3.43797492000987e-06,0.5099990462371669,12.455051114834829,-5.122912105371479,-133.24269369693928,-0.018925615470087392,-0.1135858750591826,-2.673131752256006,0.0008611763280005773,0.5026902438011607,0.37274892990235037,0.06082044991928343
3.535830209358125e-06,0.509999046231082,12.455051114685245,-5.122912105302923,-133.2426936951694,-0.018925615470285817,-0.11358587505775009,-2.6731317522210314,0.0008611763280058819,0.5026902437955284,0.37274892989774633,0.06082044991912881
3.6364707597615798e-06,0.5099990462246459,12.45505111452703,-5.122912105230401,-133.24269369329724,-0.018925615470495722,-0.11358587505623487,-2.6731317521840374,0.0008611763280114926,0.5026902437895706,0.3727489298928761,0.06082044991896525
3.739975848275116e-06,0.5099990462178383,12.455051114359668,-5.122912105153699,-133.2426936913171,-0.01892561547071776,-0.11358587505463218,-2.6731317521449083,0.0008611763280174275,0.5026902437832694,0.3727489298877248,0.060820449918792256
3.846427008421274e-06,0.5099990462106373,12.455051114182657,-5.122912105072564,-133.2426936892226,-0.01892561547095259,-0.11358587505293685,-2.673131752103518,0.0008611763280237048,0.5026902437766039,0.37274892988227604,0.06082044991860929
3.955908094416211e-06,0.5099990462030208,12.455051113995422,-5.12291210498675,-133.24269368700712,-0.018925615471201,-0.11358587505114372,-2.6731317520597377,0.0008611763280303448,0.5026902437695536,0.37274892987651276,0.060820449918415745
4.068505347223713e-06,0.5099990461949644,12.455051113797369,-5.122912104895977,-133.24269368466366,-0.01892561547146374,-0.11358587504924703,-2.6731317520134312,0.0008611763280373677,0.5026902437620965,0.3727489298704167,0.060820449918211034
4.184307462489393e-06,0.509999046186443,12.455051113587883,-5.122912104799968,-133.24269368218512,-0.01892561547174164,-0.11358587504724094,-2.6731317519644526,0.0008611763280447961,0.5026902437542089,0.37274892986396885,0.060820449917994485
4.303405660408413e-06,0.5099990461774295,12.455051113366311,-5.122912104698412,-133.24269367956322,-0.018925615472035615,-0.11358587504511888,-2.6731317519126434,0.0008611763280526538,0.5026902437458659,0.37274892985714825,0.06082044991776547
4.425893757581901e-06,0.5099990461678957,12.455051113131942,-5.1229121045909904,-133.2426936767901,-0.01892561547234653,-0.11358587504287437,-2.673131751857843,0.0008611763280609653,0.5026902437370406,0.3727489298499342,0.06082044991752325
4.551868240918621e-06,0.5099990461578111,12.45505111288404,-5.1229121044773684,-133.24269367385682,-0.018925615472675426,-0.1135858750405003,-2.673131751799884,0.0008611763280697562,0.5026902437277062,0.37274892984230373,0.060820449917266955
4.681428343640065e-06,0.509999046147145,12.455051112621828,-5.122912104357188,-133.24269367075422,-0.018925615473023304,-0.11358587503798913,-2.6731317517385724,0.0008611763280790553,0.5026902437178329,0.37274892983423236,0.06082044991699589
4.814676123448972e-06,0.5099990461358624,12.455051112344472,-5.122912104230067,-133.24269366747257,-0.018925615473391243,-0.11358587503533299,-2.6731317516737243,0.0008611763280888903,0.502690243707389,0.37274892982569513,0.06082044991670919
4.9517165429226785e-06,0.5099990461239285,12.455051112051095,-5.122912104095607,-133.24269366400117,-0.018925615473780414,-0.11358587503252343,-2.6731317516051325,0.0008611763280992935,0.502690243696343,0.3727489298166651,0.06082044991640597
5.092657552194755e-06,0.5099990461113061,12.455051111740806,-5.122912103953385,-133.24269366032962,-0.018925615474192133,-0.1135858750295517,-2.673131751532574,0.0008611763281102978,0.5026902436846592,0.3727489298071136,0.06082044991608526
5.237610173989961e-06,0.5099990460979543,12.45505111141258,-5.122912103802952,-133.2426936564459,-0.018925615474627535,-0.11358587502640838,-2.6731317514558324,0.0008611763281219377,0.5026902436723,0.37274892979701063,0.06082044991574599
5.3866885910796595e-06,0.5099990460838318,12.455051111065405,-5.122912103643833,-133.24269365233806,-0.018925615475088118,-0.11358587502308362,-2.67313175137466,0.0008611763281342486,0.5026902436592279,0.3727489297863245,0.06082044991538711
5.54001023622637e-06,0.5099990460688939,12.455051110698188,-5.122912103475522,-133.24269364799295,-0.018925615475575308,-0.11358587501956681,-2.673131751288797,0.0008611763281472709,0.5026902436454013,0.3727489297750212,0.06082044991500756
5.69769588468848e-06,0.5099990460530933,12.455051110309775,-5.122912103297501,-133.24269364339716,-0.01892561547609057,-0.11358587501584702,-2.6731317511979777,0.0008611763281610446,0.5026902436307756,0.3727489297630656,0.06082044991460603
5.859869749357916e-06,0.5099990460363811,12.455051109898934,-5.122912103109199,-133.2426936385359,-0.01892561547663561,-0.11358587501191249,-2.6731317511019204,0.0008611763281756147,0.5026902436153061,0.3727489297504192,0.06082044991418133
6.026659578605669e-06,0.5099990460187037,12.45505110946437,-5.122912102910024,-133.24269363339374,-0.018925615477212134,-0.11358587500775072,-2.6731317510003128,0.0008611763281910248,0.5026902435989428,0.3727489297370431,0.06082044991373216
6.198196756912426e-06,0.5099990460000058,12.455051109004705,-5.122912102699347,-133.2426936279552,-0.018925615477821945,-0.11358587500334874,-2.6731317508928383,0.0008611763282073251,0.5026902435816352,0.37274892972289464,0.06082044991325703
6.374616408363341e-06,0.5099990459802279,12.455051108518528,-5.122912102476509,-133.2426936222024,-0.018925615478466953,-0.11358587499869256,-2.673131750779156,0.0008611763282245666,0.5026902435633284,0.3727489297079293,0.06082044991275451
6.556057503088586e-06,0.5099990459593085,12.455051108004257,-5.122912102240805,-133.2426936161173,-0.018925615479149192,-0.11358587499376759,-2.6731317506589147,0.0008611763282428027,0.5026902435439644,0.3727489296921,0.060820449912222935
6.742662966733648e-06,0.5099990459371807,12.455051107460296,-5.122912101991495,-133.2426936096811,-0.018925615479870837,-0.11358587498855824,-2.6731317505317316,0.0008611763282620928,0.5026902435234823,0.37274892967535633,0.06082044991166062
6.9345797930453395e-06,0.5099990459137762,12.455051106884946,-5.12291210172779,-133.24269360287326,-0.018925615480634133,-0.11358587498304812,-2.6731317503972023,0.0008611763282824964,0.5026902435018181,0.37274892965764617,0.06082044991106589
7.131959159662437e-06,0.5099990458890198,12.455051106276358,-5.122912101448854,-133.2426935956724,-0.018925615481441487,-0.11358587497721984,-2.673131750254906,0.0008611763283040773,0.5026902434789026,0.37274892963891376,0.06082044991043688
7.334956547202062e-06,0.5099990458628343,12.455051105632638,-5.122912101153819,-133.24269358805554,-0.0189256154822955,-0.1135858749710551,-2.673131750104398,0.0008611763283269054,0.5026902434546642,0.37274892961909933,0.060820449909771444
7.543731861735561e-06,0.5099990458351367,12.455051104951773,-5.1229121008417495,-133.24269357999904,-0.018925615483198772,-0.11358587496453441,-2.6731317499451945,0.0008611763283510506,0.5026902434290264,0.3727489295981417,0.06082044990906767
7.758449560750557e-06,0.5099990458058401,12.45505110423157,-5.122912100511659,-133.2426935714775,-0.018925615484154203,-0.11358587495763721,-2.673131749776802,0.0008611763283765899,0.5026902434019089,0.3727489295759732,0.06082044990832322
7.979278782698142e-06,0.509999045774852,12.455051103469788,-5.1229121001625115,-133.24269356246387,-0.01892561548516484,-0.11358587495034184,-2.673131749598686,0.0008611763284036037,0.5026902433732248,0.37274892955252503,0.0608204499075358
8.206393480227446e-06,0.5099990457420752,12.455051102664044,-5.122912099793204,-133.24269355292978,-0.018925615486233796,-0.11358587494262529,-2.673131749410289,0.0008611763284321784,0.5026902433428851,0.37274892952772326,0.060820449906702934
8.43997255721239e-06,0.5099990457074053,12.455051101811753,-5.122912099402579,-133.24269354284536,-0.01892561548736449,-0.11358587493446318,-2.673131749211011,0.0008611763284624017,0.5026902433107933,0.37274892950148936,0.06082044990582192
8.680200009678792e-06,0.5099990456707342,12.455051100910262,-5.122912098989401,-133.2426935321785,-0.018925615488560404,-0.11358587492582978,-2.6731317490002313,0.0008611763284943702,0.5026902432768487,0.37274892947374083,0.06082044990489009
8.927265070742531e-06,0.5099990456319454,12.455051099956725,-5.122912098552364,-133.24269352089607,-0.018925615489825437,-0.11358587491669803,-2.6731317487772808,0.0008611763285281848,0.502690243240945,0.3727489294443903,0.06082044990390447
9.181362359673182e-06,0.5099990455909172,12.45505109894813,-5.122912098090095,-133.24269350896205,-0.018925615491163474,-0.11358587490703898,-2.673131748541456,0.0008611763285639507,0.5026902432029678,0.3727489294133451,0.06082044990286193
9.442692035200451e-06,0.5099990455475203,12.455051097881324,-5.122912097601133,-133.24269349633883,-0.018925615492578776,-0.1135858748968222,-2.6731317482920183,0.0008611763286017829,0.5026902431627978,0.372748929380507,0.060820449901759194
9.711459953184085e-06,0.509999045501618,12.455051096752914,-5.122912097083945,-133.242693482987,-0.018925615494075797,-0.11358587488601554,-2.673131748028175,0.0008611763286417985,0.5026902431203091,0.37274892934577375,0.06082044990059278
9.987877828771756e-06,0.5099990454530651,12.455051095559343,-5.122912096536893,-133.2426934688643,-0.018925615495659215,-0.11358587487458502,-2.6731317477491006,0.0008611763286841252,0.5026902430753668,0.37274892930903464,0.06082044989935906
1.0272163403172267e-05,0.5099990454017096,12.455051094296868,-5.122912095958258,-133.2426934539262,-0.018925615497334115,-0.1135858748624945,-2.673131747453914,0.0008611763287288946,0.5026902430278293,0.37274892927017467,0.06082044989805409
1.0564540615175633e-05,0.5099990453473883,12.455051092961488,-5.122912095346213,-133.24269343812546,-0.018925615499105677,-0.11358587484970604,-2.673131747141686,0.0008611763287762496,0.5026902429775479,0.3727489292290708,0.060820449896673755
1.0865239777555338e-05,0.5099990452899309,12.455051091549016,-5.122912094698835,-133.24269342141278,-0.01892561550097955,-0.11358587483617898,-2.67313174681143,0.0008611763288263386,0.502690242924363,0.3727489291855939,0.0608204498952138
1.1174497758491336e-05,0.5099990452291564,12.455051090055004,-5.1229120940140795,-133.24269340373488,-0.01892561550296158,-0.1135858748218711,-2.673131746462103,0.000861176328879319,0.5026902428681079,0.37274892913960656,0.06082044989366943
1.1492558168156995e-05,0.5099990451648725,12.455051088474717,-5.1229120932897825,-133.24269338503643,-0.01892561550505803,-0.11358587480673701,-2.673131746092611,0.000861176328935359,0.5026902428086047,0.3727489290909644,0.06082044989203598
1.1819671550616871e-05,0.5099990450968773,12.455051086803199,-5.122912092523673,-133.24269336525848,-0.01892561550727557,-0.11358587479072929,-2.6731317457017862,0.0008611763289946342,0.5026902427456656,0.37274892903951373,0.06082044989030816
1.2156095581186507e-05,0.5099990450249566,12.45505108503519,-5.122912091713332,-133.2426933443384,-0.018925615509621137,-0.11358587477379731,-2.673131745288394,0.0008611763290573324,0.5026902426790925,0.3727489289850924,0.06082044988848057
1.2502095269409549e-05,0.5099990449488834,12.455051083165081,-5.122912090856199,-133.24269332221067,-0.018925615512102083,-0.11358587475588768,-2.673131744851133,0.0008611763291236497,0.5026902426086766,0.3727489289275291,0.060820449886547584
1.2857943167812487e-05,0.5099990448684177,12.455051081187007,-5.122912089949584,-133.24269329880528,-0.018925615514726307,-0.11358587473694406,-2.6731317443886295,0.0008611763291937966,0.5026902425341946,0.3727489288666422,0.060820449884502914
1.3223919586600963e-05,0.5099990447833067,12.455051079094718,-5.12291208899062,-133.2426932740487,-0.018925615517502013,-0.11358587471690666,-2.6731317438994213,0.0008611763292679927,0.5026902424554126,0.37274892880223975,0.06082044988234018
1.360031281446697e-05,0.5099990446932812,12.455051076881633,-5.1229120879762915,-133.2426932478626,-0.01892561552043801,-0.11358587469571238,-2.67313174338197,0.0008611763293464729,0.5026902423720815,0.3727489287341194,0.06082044988005261
1.3987419345681172e-05,0.509999044598058,12.455051074540775,-5.122912086903398,-133.24269322016465,-0.018925615523543507,-0.11358587467329438,-2.673131742834643,0.0008611763294294845,0.5026902422839398,0.37274892866206566,0.06082044987763291
1.4385544113648672e-05,0.5099990444973372,12.45505107206476,-5.122912085768564,-133.24269319086758,-0.01892561552682832,-0.1135858746495821,-2.673131742255712,0.0008611763295172888,0.5026902421907086,0.37274892858585223,0.060820449875073575
1.4795000731112636e-05,0.5099990443908012,12.455051069445794,-5.122912084568208,-133.24269315987877,-0.018925615530302763,-0.11358587462450077,-2.673131741643358,0.0008611763296101629,0.5026902420920945,0.37274892850523783,0.060820449872366435
1.5216111737194851e-05,0.509999044278114,12.455051066675622,-5.122912083298544,-133.24269312710112,-0.018925615533977837,-0.11358587459797137,-2.673131740995648,0.0008611763297083989,0.5026902419877869,0.3727489284199698,0.06082044986950302
1.5649208851467664e-05,0.5099990441589206,12.455051063745506,-5.12291208195558,-133.2426930924308,-0.01892561553786505,-0.1135858745699102,-2.673131740310542,0.0008611763298123064,0.5026902418774573,0.37274892832977846,0.06082044986647431
1.609463323525789e-05,0.5099990440328452,12.455051060646214,-5.122912080535072,-133.242693055759,-0.01892561554197673,-0.11358587454022892,-2.6731317395858794,0.0008611763299222129,0.5026902417607576,0.3727489282343795,0.06082044986327067
1.6552735760387945e-05,0.5099990438994911,12.455051057367976,-5.1229120790325515,-133.24269301696955,-0.01892561554632577,-0.11358587450883398,-2.6731317388193805,0.000861176330038466,0.5026902416373197,0.3727489281334728,0.06082044985988209
1.7023877285566182e-05,0.5099990437584375,12.455051053900467,-5.122912077443279,-133.24269297594066,-0.01892561555092595,-0.11358587447562636,-2.6731317380086264,0.0008611763301614304,0.5026902415067553,0.3727489280267403,0.060820449856297844
1.7508428940644423e-05,0.5099990436092403,12.45505105023277,-5.12291207576225,-133.24269293254298,-0.018925615555791715,-0.11358587444050147,-2.6731317371510572,0.0008611763302914943,0.5026902413686528,0.37274892791384534,0.06082044985250666
1.8006772418966018e-05,0.5099990434514289,12.455051046353299,-5.122912073984167,-133.2426928866398,-0.01892561556093842,-0.1135858744033486,-2.6731317362439837,0.0008611763304290679,0.5026902412225764,0.3727489277944319,0.0608204498484966
1.851930027803517e-05,0.5099990432845057,12.455051042249853,-5.122912072103419,-133.24269283808593,-0.018925615566382233,-0.11358587436405068,-2.6731317352845316,0.0008611763305745843,0.5026902410680659,0.37274892766812434,0.06082044984425505
1.9046416248744217e-05,0.5099990431079453,12.455051037909486,-5.122912070114091,-133.24269278672907,-0.01892561557214036,-0.11358587432248379,-2.673131734269689,0.0008611763307285025,0.5026902409046351,0.3727489275345244,0.060820449839768524
1.958853555340248e-05,0.5099990429211908,12.455051033318526,-5.1229120680099,-133.24269273240716,-0.018925615578231025,-0.11358587427851707,-2.6731317331962474,0.0008611763308913077,0.502690240731768,0.37274892739321036,0.06082044983502302
2.0146085232817037e-05,0.5099990427236539,12.45505102846249,-5.12291206578422,-133.2426926749488,-0.01892561558467326,-0.11358587423201177,-2.6731317320608317,0.0008611763310635117,0.5026902405489205,0.37274892724373776,0.06082044983000355
2.0719504482683542e-05,0.5099990425147117,12.45505102332608,-5.1229120634300465,-133.2426926141728,-0.018925615591487453,-0.11358587418282147,-2.673131730859866,0.0008611763312456587,0.5026902403555161,0.3727489270856348,0.06082044982469425
2.1309244999551478e-05,0.5099990422937069,12.455051017893132,-5.122912060939943,-133.2426925498881,-0.018925615598695104,-0.11358587413079113,-2.6731317295895574,0.0008611763314383224,0.5026902401509454,0.3727489269184041,0.06082044981907839
2.1915771336636564e-05,0.5099990420599408,12.455051012146491,-5.122912058306073,-133.24269248189162,-0.018925615606318842,-0.11358587407575675,-2.673131728245907,0.0008611763316421093,0.5026902399345631,0.3727489267415179,0.06082044981313829
2.253956126976109e-05,0.5099990418126787,12.455051006068068,-5.1229120555201355,-133.24269240996938,-0.018925615614382812,-0.11358587401754487,-2.6731317268246797,0.0008611763318576625,0.5026902397056878,0.37274892655441894,0.060820449806855234
2.3181106173709626e-05,0.5099990415511404,12.455050999638697,-5.1229120525733425,-133.24269233389464,-0.018925615622912343,-0.11358587395597208,-2.673131725321397,0.0008611763320856609,0.5026902394635978,0.3727489263565176,0.06082044980020944
2.3840911409297112e-05,0.5099990412745016,12.455050992838125,-5.122912049456418,-133.24269225342755,-0.018925615631934307,-0.11358587389084426,-2.6731317237313124,0.0008611763323268222,0.5026902392075309,0.37274892614719013,0.06082044979317994
2.4519496721454177e-05,0.5099990409818913,12.455050985644906,-5.122912046159535,-133.24269216831473,-0.0189256156414772,-0.11358587382195627,-2.673131722049431,0.0008611763325819081,0.5026902389366791,0.3727489259257766,0.06082044978574458
2.5217396648642885e-05,0.5099990406723862,12.455050978036374,-5.122912042672296,-133.24269207828766,-0.018925615651571068,-0.11358587374909089,-2.6731317202704425,0.0008611763328517218,0.5026902386501898,0.3727489256915799,0.060820449777879926
2.593516094392622e-05,0.5099990403450116,12.45505096998857,-5.122912038983722,-133.24269198306288,-0.01892561566224768,-0.11358587367201854,-2.67313171838874,0.0008611763331371134,0.5026902383471595,0.3727489254438615,0.060820449769561205
2.667335500802206e-05,0.5099990399987355,12.455050961476097,-5.122912035082179,-133.2426918823399,-0.01892561567354072,-0.11358587359049632,-2.6731317163983945,0.0008611763334389821,0.5026902380266338,0.37274892518184066,0.06082044976076219
