# k is in units of fm^{-1}
# u(k) is the S-wave wave function in units of fm^{3/2}
# w(k) is the D-wave wave function in units of fm^{3/2}
# 
# Normalization:
# 
# integral[ (u(k)^2+w(k)^2) k^2 dk ] =  1
# 
#
# Original file by Bob Wiringa
# Original: https://www.phy.anl.gov/theory/research/av18/deut.wfk
# Modified 2025.09.29 by Adam Freese:
# - # before comments
# - remove some whitespace
# - some comments in header
# Use:
#   df = pd.read_csv("/path/to/av18k.csv", sep='\s+', comment='#')
# to import as a pandas dataframe
#
#
 k           u(k)           w(k)
 0.00000    1.2760304600E+01    0.0000000000E+00
 0.05000    1.2174497164E+01    1.4067707781E-02
 0.10000    1.0693408212E+01    4.9364059912E-02
 0.15000    8.8738409688E+00    9.1985005926E-02
 0.20000    7.1434291095E+00    1.3128610953E-01
 0.25000    5.6860274052E+00    1.6274920319E-01
 0.30000    4.5261926145E+00    1.8586195102E-01
 0.35000    3.6239360829E+00    2.0173965968E-01
 0.40000    2.9256080061E+00    2.1184570549E-01
 0.45000    2.3830239624E+00    2.1750767094E-01
 0.50000    1.9580143951E+00    2.1979921359E-01
 0.55000    1.6218003040E+00    2.1955235851E-01
 0.60000    1.3530748514E+00    2.1740312266E-01
 0.65000    1.1361176309E+00    2.1383721506E-01
 0.70000    9.5928367761E-01    2.0922714119E-01
 0.75000    8.1387983365E-01    2.0386024714E-01
 0.80000    6.9335416286E-01    1.9795940138E-01
 0.85000    5.9271742351E-01    1.9169818839E-01
 0.90000    5.0813051224E-01    1.8521213848E-01
 0.95000    4.3660896729E-01    1.7860711767E-01
 1.00000    3.7580978092E-01    1.7196567570E-01
 1.05000    3.2387624835E-01    1.6535191196E-01
 1.10000    2.7932398545E-01    1.5881525202E-01
 1.15000    2.4095637912E-01    1.5239341116E-01
 1.20000    2.0780126484E-01    1.4611474161E-01
 1.25000    1.7906305520E-01    1.4000010465E-01
 1.30000    1.5408622008E-01    1.3406437125E-01
 1.35000    1.3232718328E-01    1.2831762903E-01
 1.40000    1.1333251534E-01    1.2276615519E-01
 1.45000    9.6721877016E-02    1.1741320226E-01
 1.50000    8.2174576847E-02    1.1225963406E-01
 1.55000    6.9418900754E-02    1.0730444106E-01
 1.60000    5.8223583934E-02    1.0254515875E-01
 1.65000    4.8390950806E-02    9.7978207007E-02
 1.70000    3.9751362850E-02    9.3599165256E-02
 1.75000    3.2158698897E-02    8.9402994648E-02
 1.80000    2.5486655615E-02    8.5384216919E-02
 1.85000    1.9625703384E-02    8.1537057711E-02
 1.90000    1.4480568761E-02    7.7855560996E-02
 1.95000    9.9681422749E-03    7.4333680138E-02
 2.00000    6.0157316851E-03    7.0965350051E-02
 2.05000    2.5595973404E-03    6.7744544055E-02
 2.10000   -4.5628091354E-04    6.4665318199E-02
 2.15000   -3.0812459349E-03    6.1721845281E-02
 2.20000   -5.3588474509E-03    5.8908440358E-02
 2.25000   -7.3275948408E-03    5.6219579293E-02
 2.30000   -9.0216002621E-03    5.3649911683E-02
 2.35000   -1.0471129938E-02    5.1194269343E-02
 2.40000   -1.1703078278E-02    4.8847671322E-02
 2.45000   -1.2741376920E-02    4.6605326214E-02
 2.50000   -1.3607348605E-02    4.4462632349E-02
 2.55000   -1.4320014117E-02    4.2415176263E-02
 2.60000   -1.4896359140E-02    4.0458729779E-02
 2.65000   -1.5351566873E-02    3.8589245966E-02
 2.70000   -1.5699221296E-02    3.6802854259E-02
 2.75000   -1.5951485234E-02    3.5095854961E-02
 2.80000   -1.6119256679E-02    3.3464713399E-02
 2.85000   -1.6212306316E-02    3.1906053874E-02
 2.90000   -1.6239398768E-02    3.0416653548E-02
 2.95000   -1.6208399691E-02    2.8993436321E-02
 3.00000   -1.6126370522E-02    2.7633466729E-02
 3.05000   -1.5999652395E-02    2.6333943878E-02
 3.10000   -1.5833940588E-02    2.5092195433E-02
 3.15000   -1.5634350705E-02    2.3905671733E-02
 3.20000   -1.5405477627E-02    2.2771940052E-02
 3.25000   -1.5151448091E-02    2.1688679085E-02
 3.30000   -1.4875967648E-02    2.0653673664E-02
 3.35000   -1.4582362623E-02    1.9664809726E-02
 3.40000   -1.4273617669E-02    1.8720069505E-02
 3.45000   -1.3952409416E-02    1.7817526927E-02
 3.50000   -1.3621136639E-02    1.6955343188E-02
 3.55000   -1.3281947322E-02    1.6131762509E-02
 3.60000   -1.2936762973E-02    1.5345108072E-02
 3.65000   -1.2587300513E-02    1.4593778156E-02
 3.70000   -1.2235092004E-02    1.3876242473E-02
 3.75000   -1.1881502444E-02    1.3191038714E-02
 3.80000   -1.1527745791E-02    1.2536769295E-02
 3.85000   -1.1174899412E-02    1.1912098264E-02
 3.90000   -1.0823917129E-02    1.1315748373E-02
 3.95000   -1.0475641004E-02    1.0746498283E-02
 4.00000   -1.0130811998E-02    1.0203179895E-02
 4.05000   -9.7900796114E-03    9.6846758193E-03
 4.10000   -9.4540106063E-03    9.1899169728E-03
 4.15000   -9.1230969262E-03    8.7178803097E-03
 4.20000   -8.7977628783E-03    8.2675866872E-03
 4.25000   -8.4783716431E-03    7.8380988487E-03
 4.30000   -8.1652311606E-03    7.4285195153E-03
 4.35000   -7.8585994612E-03    7.0379895720E-03
