# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns D0c8 are coefficients that multiply c8
q (MeV),D0,D0c8
1,0.000274693,-938.982
21,0.000709691,-931.127
41,0.00160985,-909.635
61,0.0031183,-876.203
81,0.00554631,-833.212
101,0.00836523,-783.303
121,0.0114153,-729.016
141,0.0145448,-672.556
161,0.0176203,-615.7
181,0.0205323,-559.789
201,0.0231979,-505.783
221,0.0255602,-454.324
241,0.0275861,-405.805
261,0.0292608,-360.426
281,0.0305833,-318.254
301,0.031562,-279.263
321,0.0322633,-243.366
341,0.0326051,-210.44
361,0.0326696,-180.337
381,0.032489,-152.892
401,0.0320971,-127.931
421,0.0315259,-105.279
441,0.030804,-84.7663
461,0.0299561,-66.2285
481,0.0290037,-49.5087
501,0.0279664,-34.4579
521,0.026864,-20.9372
541,0.0257159,-8.81896
561,0.0245405,2.01221
581,0.0233544,11.6609
601,0.0221706,20.2245
621,0.0209987,27.7963
641,0.0198448,34.468
661,0.0187131,40.3285
681,0.0176069,45.4611
701,0.0165297,49.9393
721,0.0154856,53.8248
741,0.0144787,57.167
761,0.0135132,60.0066
781,0.0125918,62.38
