# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns D3c8 are coefficients that multiply c8
q (MeV),D3,D3c8
1,0.,9888.35
21,0.,9816.21
41,0.,9618.98
61,0.,9312.65
81,0.,8919.6
101,0.,8464.55
121,0.,7971.16
141,0.,7459.8
161,0.,6946.72
181,0.,6444.01
201,0.,5960.12
221,0.,5500.44
241,0.,5068.03
261,0.,4664.2
281,0.,4289.07
301,0.,3942.07
321,0.,3622.21
341,0.,3328.2
361,0.,3058.49
381,0.,2811.36
401,0.,2584.99
421,0.,2377.61
441,0.,2187.6
461,0.,2013.58
481,0.,1854.31
501,0.,1708.67
521,0.,1575.53
541,0.,1453.77
561,0.,1342.27
581,0.,1240.
601,0.,1146.04
621,0.,1059.66
641,0.,980.259
661,0.,907.334
681,0.,840.419
701,0.,779.043
721,0.,722.712
741,0.,670.924
761,0.,623.203
781,0.,579.127
