# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns E0c8 and E0c9 are coefficients that multiply c8 and c9
q (MeV),E0,E0c8,E0c9
1,1.01417,0.000266915,2.00489
21,1.00752,0.11693,878.302
41,0.989329,0.437587,3286.87
61,0.961057,0.940674,7065.73
81,0.92474,1.59532,11983.
101,0.882619,2.36626,17773.8
121,0.836833,3.21813,24172.5
141,0.789217,4.11851,30935.6
161,0.741228,5.0395,37853.5
181,0.693951,5.95823,44754.3
201,0.648147,6.85668,51502.9
221,0.604315,7.72121,57996.7
241,0.562749,8.54177,64160.3
261,0.523587,9.31116,69939.4
281,0.48686,10.0244,75296.8
301,0.452532,10.6784,80209.2
321,0.420533,11.2717,84665.5
341,0.39077,11.8042,88665.4
361,0.363133,12.2769,92215.9
381,0.337498,12.6912,95328.
401,0.313728,13.0488,98013.8
421,0.291684,13.3512,100286.
441,0.271235,13.6005,102158.
461,0.252265,13.7989,103649.
481,0.234674,13.9497,104781.
501,0.21837,14.0563,105582.
521,0.203267,14.1222,106077.
541,0.189275,14.1506,106290.
561,0.176303,14.1438,106239.
581,0.164266,14.1038,105938.
601,0.153083,14.0323,105402.
621,0.142686,13.9314,104644.
641,0.133019,13.8037,103685.
661,0.124035,13.6524,102548.
681,0.115693,13.4807,101259.
701,0.10795,13.2917,99838.6
721,0.100764,13.0876,98305.8
741,0.0940886,12.8701,96671.6
761,0.0878808,12.6399,94942.9
781,0.0820993,12.3978,93124.5
