# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
q (MeV),E2
1,-10.5182
21,-10.4414
41,-10.2312
61,-9.9048
81,-9.48603
101,-9.00124
121,-8.47565
141,-7.93098
161,-7.38454
181,-6.84923
201,-6.33401
221,-5.84465
241,-5.38439
261,-4.9546
281,-4.55543
301,-4.18625
321,-3.846
341,-3.53328
361,-3.24647
381,-2.98371
401,-2.74306
421,-2.52263
441,-2.3207
461,-2.13578
481,-1.96657
501,-1.81186
521,-1.67046
541,-1.54117
561,-1.42279
581,-1.31422
601,-1.21449
621,-1.12281
641,-1.03855
661,-0.961175
681,-0.890193
701,-0.825099
721,-0.765367
741,-0.710461
761,-0.659873
781,-0.613153
