# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns E2c8 and E2c9 are coefficients that multiply c8 and c9
q (MeV),E2,E2c8,E2c9
1,-10.1811,-0.00281085,-21.1133
21,-10.1058,-1.23054,-9243.02
41,-9.90007,-4.59632,-34524.6
61,-9.58066,-9.85023,-73988.5
81,-9.17117,-16.6352,-124953.
101,-8.69757,-24.5448,-184365.
121,-8.18462,-33.1746,-249186.
141,-7.65364,-42.1579,-316663.
161,-7.12153,-51.1853,-384471.
181,-6.60081,-60.0105,-450760.
201,-6.10016,-68.4479,-514136.
221,-5.6251,-76.3652,-573606.
241,-5.17867,-83.6733,-628500.
261,-4.76211,-90.3174,-678406.
281,-4.37548,-96.2696,-723115.
301,-4.01809,-101.525,-762587.
321,-3.68885,-106.096,-796922.
341,-3.38639,-110.01,-826322.
361,-3.10907,-113.301,-851046.
381,-2.85507,-116.006,-871362.
401,-2.6225,-118.158,-887523.
421,-2.40949,-119.789,-899780.
441,-2.21437,-120.937,-908400.
461,-2.03572,-121.642,-913696.
481,-1.87225,-121.951,-916018.
501,-1.72282,-121.912,-915724.
521,-1.58627,-121.567,-913133.
541,-1.46144,-120.95,-908495.
561,-1.34716,-120.083,-901983.
581,-1.24238,-118.984,-893728.
601,-1.14614,-117.669,-883855.
621,-1.0577,-116.162,-872533.
641,-0.976441,-114.491,-859980.
661,-0.901855,-112.69,-846450.
681,-0.833468,-110.791,-832189.
701,-0.770795,-108.821,-817390.
721,-0.713327,-106.795,-802171.
741,-0.660543,-104.718,-786577.
761,-0.611947,-102.592,-770603.
781,-0.567101,-100.413,-754237.
