# Data provided by Julia Panteleeva (10/13/2025)
# Formatting modified by Adam Freese (10/23/2025)
# The columns Jc9 are coefficients that multiply c9
q (MeV),J,Jc9
1,1.00839,0.0700725
21,1.00208,30.8516
41,0.984852,117.063
61,0.958087,257.203
81,0.923737,448.893
101,0.883941,688.999
121,0.840732,973.776
141,0.795849,1299.02
161,0.750663,1660.19
181,0.706187,2052.6
201,0.663125,2471.47
221,0.621934,2912.07
241,0.582873,3369.77
261,0.546057,3840.14
281,0.511501,4318.96
301,0.479161,4802.31
321,0.448962,5286.52
341,0.420812,5768.26
361,0.394606,6244.5
381,0.370223,6712.51
401,0.347533,7169.88
421,0.326404,7614.51
441,0.306713,8044.57
461,0.288353,8458.53
481,0.271234,8855.07
501,0.255279,9233.15
521,0.24041,9591.91
541,0.226547,9930.7
561,0.213608,10249.1
581,0.201511,10546.8
601,0.190184,10823.6
621,0.179565,11079.7
641,0.169607,11315.
661,0.160273,11529.9
681,0.15153,11724.6
701,0.143345,11899.5
721,0.13568,12055.2
741,0.128492,12191.9
761,0.121741,12310.5
781,0.115387,12411.4
