# Compiled from file: /home/wcosyn/Git/physics-code/progs/poldeut/EMT_deut.cpp
# Current date and time: Wed Dec, 3 13:52:56 2025
#
# Command line arguments:
#   /home/wcosyn/Git/physics-code/bin/EMT_deut
# Git version: 8f7224b
#
t,A_00,A_+0,A_-+,A_0+,A_++,J_00,J_+0,J_-+,J_0+,J_++,tD_00,tD_+0,tD_-+,tD_0+,tD_++
-1e-06,0.999737,-0.000171025,-1.82435e-06,0.000171026,0.999739,-2.69548e-18,-6.4613e-05,4.36641e-06,6.46157e-05,1.0009,1.32538e-05,2.02878e-06,-2.74775e-07,1.13735e-08,1.26427e-05
-0.0001,0.997872,-0.00170734,-0.000173897,0.00170732,0.998046,-5.94501e-21,0.000104963,-1.25075e-06,-0.000104962,0.999234,0.00105554,2.25764e-05,-3.1842e-06,-1.95646e-06,0.00104067
-0.0002,0.995997,-0.00241037,-0.00034666,0.00241034,0.996344,-7.71756e-19,0.000181797,-1.32818e-06,-0.000181809,0.997561,0.00208933,3.4967e-05,-4.97118e-06,-5.69218e-06,0.00206317
-0.0004,0.992269,-0.00339704,-0.000690141,0.00339702,0.99296,3.41802e-19,0.000290702,-5.86218e-07,-0.000290705,0.994236,0.00413754,5.7717e-05,-9.05445e-06,-1.62454e-05,0.00409123
-0.0008,0.984896,-0.00477135,-0.00136955,0.00477132,0.986267,-2.16345e-19,0.00044434,-1.3186e-06,-0.000444354,0.98766,0.00817473,0.000104716,-2.06952e-05,-4.57806e-05,0.0080943
-0.0016,0.970467,-0.00665701,-0.00269966,0.00665698,0.973169,-1.57659e-19,0.000663571,-9.05807e-07,-0.000663581,0.974792,0.0160457,0.000211709,-5.94982e-05,-0.000127767,0.0159157
-0.0032,0.942797,-0.00916894,-0.00525159,0.00916892,0.948052,-1.80028e-19,0.000976975,-2.19871e-06,-0.000976973,0.950123,0.031048,0.000471597,-0.000201985,-0.000351519,0.0308855
-0.0064,0.891717,-0.0123282,-0.00996281,0.0123282,0.901679,-5.24706e-19,0.00142799,-2.26854e-06,-0.00142796,0.904606,0.0584067,0.00111549,-0.000721764,-0.000942161,0.0584117
-0.0128,0.803533,-0.0158855,-0.0180676,0.0158855,0.821575,-2.54752e-19,0.00208048,-1.92164e-06,-0.00208044,0.826062,0.104307,0.00266492,-0.0025471,-0.00241137,0.105403
-0.0256,0.666832,-0.0191022,-0.0303952,0.0191022,0.697102,1.73989e-19,0.00299714,-1.69075e-06,-0.00299705,0.704208,0.170272,0.00608301,-0.00839301,-0.00570207,0.175647
-0.05,0.491891,-0.0207448,-0.0450824,0.0207449,0.536558,1.3938e-19,0.00412622,-3.88825e-06,-0.00412593,0.5473,0.238089,0.0122164,-0.0236316,-0.0116264,0.255555
-0.0512,0.485173,-0.0207618,-0.0456041,0.0207619,0.530345,-3.37839e-20,0.00416935,-4.37498e-06,-0.0041691,0.541231,0.240132,0.0124901,-0.0244483,-0.0118905,0.258256
-0.075,0.37538,-0.020566,-0.053406,0.0205658,0.428015,-1.87804e-20,0.00484967,-6.3866e-06,-0.00484974,0.441236,0.26476,0.0173,-0.0409202,-0.0165112,0.296257
-0.1,0.293806,-0.0198026,-0.0579375,0.0198026,0.350605,-6.947e-20,0.00530275,-1.41654e-06,-0.00530243,0.365463,0.268751,0.021149,-0.0577346,-0.020161,0.313937
-0.1024,0.287255,-0.0197157,-0.0582353,0.0197157,0.344316,1.74367e-20,0.00533608,-9.66549e-07,-0.00533578,0.359298,0.268368,0.02146,-0.0592866,-0.0204527,0.314815
-0.125,0.233785,-0.0188438,-0.0601785,0.0188443,0.292468,3.7731e-20,0.00557371,-4.70252e-06,-0.00557239,0.308377,0.260324,0.0239358,-0.0732191,-0.0227389,0.318017
-0.15,0.188113,-0.017836,-0.0609642,0.017836,0.247251,-5.7169e-20,0.00573483,-2.26131e-06,-0.00573481,0.263802,0.245112,0.0258651,-0.0870403,-0.0244797,0.313872
-0.175,0.152508,-0.0168399,-0.0607973,0.0168399,0.211175,-7.15144e-20,0.0057977,-3.24232e-06,-0.00579769,0.228059,0.226315,0.0270895,-0.0991317,-0.0255064,0.304595
